"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MOLOWVOL",23.42,23.99,21.01,23.42,21.01,-11.46,2235,52500.15,"11-Aug-2022"
"EQUIPPP",40.85,43,40.85,43,40.85,-5,32834,1347179.02,"23-Dec-2021"
"SPMLINFRA",32.85,33.85,31.35,33,31.35,-5,304489,9640121.74,"16-Sep-2022"
"DBREALTY",117.45,117.45,106.5,112.1,106.5,-5,2273446,249578901.88,"22-Sep-2022"
"DRCSYSTEMS",29,30.5,27.6,29.05,27.6,-4.99,775,22358.75,"20-Jun-2022"
"TRF",249.25,249.25,249.25,262.35,249.25,-4.99,5183,1291862.75,"13-Aug-2020"
"SELMC",606.9,606.9,606.9,638.8,606.9,-4.99,394,239118.6,"15-Sep-2022"
"SERVOTECH",175.85,175.85,167.1,175.85,167.1,-4.98,20597,3449173.62,"23-Sep-2022"
"SALSTEEL",16.85,16.85,15.25,16.05,15.25,-4.98,1469814,23355344.46,"07-Sep-2022"
"SUBCAPCITY",101.65,101.65,101.65,106.95,101.65,-4.96,520,52858,"23-Sep-2022"
"AMDIND",76.8,78,72.1,75.85,72.1,-4.94,88622,6480040.64,"21-Sep-2022"
"DIL",29.8,32.9,29.8,31.35,29.8,-4.94,1682757,52114984.29,"-"
"ENERGYDEV",19.55,19.65,18.3,19.25,18.3,-4.94,339542,6264549.9,"23-Sep-2022"
"EUROTEXIND",10.9,11.65,10.6,11.15,10.6,-4.93,10039,110930.95,"14-Sep-2022"
"REGENCERAM",35.9,35.9,35.9,37.75,35.9,-4.9,4674,167796.6,"21-Sep-2022"
"CYBERMEDIA",20.55,20.55,20.55,21.6,20.55,-4.86,8231,169147.05,"23-Sep-2022"
"SAGARDEEP",28.35,31,28.35,30,28.55,-4.83,33047,982817.78,"15-Sep-2022"
"GLFL",3.05,3.05,3.05,3.2,3.05,-4.69,2,6.1,"18-Jul-2019"
"JPINFRATEC",2.05,2.05,2.05,2.15,2.05,-4.65,365415,749100.75,"22-Sep-2022"
"GFSTEELS",4.15,4.15,4.15,4.35,4.15,-4.6,100,415,"23-Sep-2022"
