"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"LIBAS-RE",1.5,2.35,1.4,1.75,2.3,31.43,234489,412700.64,"-"
"GPTINFRA",118.65,140.85,117.8,117.4,140.85,19.97,819913,109122221.17,"20-Jul-2022"
"CMICABLES",18.35,21.7,18.05,18.1,21.7,19.89,388671,8138770.74,"22-Sep-2022"
"ANANTRAJ",83.05,98.45,83.05,83.05,96.4,16.07,7278351,678123962.67,"01-Jul-2022"
"IRISDOREME",210.25,256.8,208.2,215.6,250,15.96,86752,20607937.6,"09-Sep-2022"
"GRMOVER",370,421.8,370,373.2,420.2,12.59,33804,13044963.6,"22-Sep-2022"
"TRIL",53.45,61.7,53.1,52.95,59.6,12.56,5347649,314548714.18,"28-Jul-2022"
"ADANIGREEN",2003.9,2404.85,1995.2,2004.05,2253.3,12.44,5910517,13032689985,"18-Jul-2022"
"INSECTICID",709,769.8,700.2,966.3,720,11.77,240212,173382619.48,"30-Sep-2022"
"ATLANTA",16.65,19.45,16.05,16.65,18.5,11.11,393589,7182999.25,"21-Sep-2021"
"RPGLIFE",731.35,819,731.35,727.7,807.4,10.95,380568,301463135.52,"14-Jul-2022"
"RADHIKAJWE",153,171.65,150.15,153,169,10.46,126105,20975044.65,"13-Sep-2022"
"TEXRAIL",49.45,54,49.05,46.15,50.9,10.29,16271094,831615614.34,"22-Sep-2022"
"ALKALI",92,101.2,91.6,92,101.2,10,65835,6487380.9,"11-Aug-2022"
"INDIACEM",245.5,270.3,244.15,245.75,270.3,9.99,27575029,7180813301.89,"20-Sep-2022"
"SIMPLEXINF",55.4,61.45,55.4,55.9,61.45,9.93,59855,3520072.55,"20-Sep-2022"
"TIL",115,127,108.35,106.6,117.15,9.9,179064,21976524.72,"06-Aug-2019"
"TCPLPACK",1087.85,1180,1072.25,1069.9,1175,9.82,79027,90856551.63,"02-Aug-2022"
"STEL",133,148,128.3,128.95,141,9.34,61722,8732428.56,"21-Sep-2022"
"HERITGFOOD",314.2,372,310.8,311.25,340,9.24,3332594,1144179498.02,"21-Jul-2022"
