"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BSL",121.95,143.5,120.1,119.6,143.5,19.98,107917,14786787.34,"20-Sep-2022"
"CMICABLES",21.75,26,21.75,21.7,25.9,19.35,1382145,33682873.65,"22-Sep-2022"
"MOREPENLAB",24.2,27.8,23.6,23.85,26.9,12.79,13924363,368995619.5,"19-Sep-2022"
"TRITURBINE",235,262.45,234.9,234.9,261,11.11,7747389,1953271714.68,"11-Aug-2022"
"JAYBARMARU",176,202.55,175.9,173.7,192.5,10.82,854518,166579738.92,"16-Sep-2022"
"DEEPINDS",255.55,283,255.55,253.05,280.05,10.67,481326,132995187.06,"19-Sep-2022"
"HINDCON",78,84.8,77.1,77.1,84.8,9.99,87551,7261479.94,"18-Aug-2022"
"ALKALI",105,111.3,98.5,101.2,111.3,9.98,368715,40418538.3,"11-Aug-2022"
"VCL",9.3,10,9.1,9.1,10,9.89,176848,1743721.28,"20-Sep-2022"
"NIRAJ",30.9,33.9,30.8,29.4,32.2,9.52,118556,3908791.32,"21-Sep-2022"
"ORIENTHOT",74.15,84.6,73.8,74.15,80.95,9.17,9766700,789247027,"20-Jul-2022"
"VIJIFIN",2.25,2.4,2.2,2.2,2.4,9.09,143963,335433.79,"19-Sep-2022"
"LIBERTSHOE",314.05,335,311,305.15,332.1,8.83,1717704,552774324.24,"22-Sep-2022"
"COCHINSHIP",439,491.55,435.1,441,478,8.39,8547308,4087920997.16,"21-Sep-2022"
"MANAKSTEEL",35.5,41,35.5,35.35,38.3,8.35,157735,5984465.9,"19-Sep-2022"
"CALSOFT",19.7,20.75,19,19.25,20.75,7.79,30234,589260.66,"21-Sep-2022"
"EXCEL",0.65,0.7,0.6,0.65,0.7,7.69,16183961,11005093.48,"28-Sep-2022"
"GAYAHWS",0.7,0.75,0.7,0.7,0.75,7.14,15389,11387.86,"21-Sep-2022"
"SAFARI",1647,1782,1626.2,1649.45,1765.1,7.01,64039,110407718.73,"14-Jul-2022"
"CSBBANK",230,239.95,223.55,222.65,238,6.89,1058370,248187765,"19-Sep-2022"
