"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MAXVIL",147.9,173.45,147.9,144.55,173.45,19.99,1844950,301520178.5,"17-Aug-2022"
"SHIVAMILLS",116.95,134.85,115.9,112.4,134.85,19.97,152938,20074641.88,"17-Aug-2022"
"GAYAPROJ",8.4,9.8,8.4,8.2,9.8,19.51,12566725,119258220.25,"15-Sep-2021"
"ANSALHSG",5.15,5.85,5,4.9,5.85,19.39,1292438,7444442.88,"20-Sep-2022"
"MURUDCERA",29.25,34.4,29.05,28.75,33.2,15.48,1095409,36104680.64,"13-Sep-2022"
"BSL",160,169.65,156,143.5,165.2,15.12,793751,129048037.58,"20-Sep-2022"
"APARINDS",1290.35,1455,1290.35,1284.05,1448,12.77,279846,391843167.66,"04-Aug-2022"
"ANGELONE",1442,1550,1430.75,1363.75,1537.9,12.77,2699657,4041926460.4,"21-Jul-2022"
"LAMBODHARA",92.8,109.9,88.8,91.75,103,12.26,332732,35389375.52,"30-Aug-2022"
"GLOBE",5.35,6.3,5.3,5.35,6,12.15,4369219,26040545.24,"03-Aug-2021"
"SPORTKING",794,878.65,772.15,764.8,856.5,11.99,246942,208562274.36,"-"
"NIPPOBATRY",357,422.8,355.6,352.35,393.5,11.68,215580,87965263.2,"19-Sep-2022"
"M&MFIN",187,202,187,179.75,200.3,11.43,27799253,5511757892.31,"20-Jul-2022"
"LYKALABS",126,143.35,124.45,123.25,136,10.34,381000,51956970,"21-Jul-2022"
"POWERMECH",1840,2025,1832,1820.3,2005,10.15,212371,417132747.07,"22-Sep-2022"
"AKSHAR",63.1,72.35,63.1,65.8,72.35,9.95,802129,56854903.52,"21-Sep-2022"
"MAZDOCK",520,572.9,504,513.3,563.55,9.79,6355615,3399364238.9,"19-Sep-2022"
"MIRCELECTR",17.05,19.25,16.85,16.7,18.3,9.58,660299,11918396.95,"11-Aug-2022"
"VAKRANGEE",36.3,39.4,36.25,35.65,38.95,9.26,12092548,459879600.44,"22-Sep-2022"
"BANG",41.25,45.35,39.4,41.25,45,9.09,40900,1773424,"23-Sep-2022"
