"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HEADSUP",11.7,13.85,11.6,11.55,13.85,19.91,292519,3755943.96,"08-Sep-2022"
"ICICIMOM30",19.21,22.5,19.21,19.69,22.5,15.74,28262,559587.6,"12-Aug-2022"
"JPASSOCIAT",9.7,10.8,9.7,9.3,10.7,15.05,99339313,1028161889.55,"20-Sep-2022"
"HIMATSEIDE",96.5,110,95.25,95.95,108,12.56,3223520,341822060.8,"20-Sep-2022"
"DREDGECORP",303,357,302.15,305.15,343.25,12.49,1068902,366975434.64,"09-Dec-2021"
"UNIVCABLES",228,256,223.45,227.05,254,11.87,432168,104515509.12,"15-Sep-2022"
"HBSL",51.4,60,51.4,51.05,57.1,11.85,133606,7695705.6,"15-Sep-2022"
"HBLPOWER",103.7,116.4,103.55,103,114.7,11.36,34463036,3802996022.6,"15-Sep-2022"
"KOTARISUG",43.15,49.65,43.15,43.75,48.5,10.86,3127961,149954450.34,"26-Jul-2022"
"MAXVIL",175.2,204.9,173.15,176.85,195.95,10.8,2964363,575086422,"17-Aug-2022"
"INDTERRAIN",71.8,79.85,71.05,71.8,79.5,10.72,2951793,226933845.84,"01-Sep-2022"
"BANARBEADS",85.3,98.6,85.2,82.8,91.5,10.51,699071,65216333.59,"10-Aug-2022"
"AXITA",332.9,332.9,315,302.65,332.9,10,127313,41734474.53,"19-Sep-2022"
"APOLSINHOT",1460,1526.55,1422.1,1387.8,1526.55,10,42210,62464890.6,"21-Sep-2022"
"AUTOIND",98.95,108.95,97.45,99.05,108.95,9.99,366941,39038852.99,"23-Sep-2015"
"RVHL",23.1,24.9,23.1,22.65,24.9,9.93,125763,3063586.68,"20-Sep-2022"
"KUANTUM",134,153.85,130.45,133.2,146.25,9.8,827034,116768930.46,"21-Jul-2022"
"MINDTECK",141.9,158.25,137.1,139,152.5,9.71,120171,17937925.17,"04-Aug-2022"
"A2ZINFRA",10.4,11.35,10.3,10.35,11.35,9.66,640418,7025385.46,"09-Sep-2022"
"SATIN",119.15,129.9,119.1,118.95,129.9,9.21,203559,25583295.12,"04-Aug-2020"
