"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ANSALHSG",5.5,5.65,4.6,5.7,4.9,-14.04,1881119,9179860.72,"20-Sep-2022"
"AKSHAR",65.8,65.8,65.8,73.1,65.8,-9.99,27166,1787522.8,"21-Sep-2022"
"AIROLAM",124.7,129.5,110.1,122.3,110.1,-9.98,428477,50320338.88,"19-Sep-2022"
"ADANIENT",3440,3460.05,3110.2,3455.75,3164.75,-8.42,7578847,24552053798.85,"14-Jul-2022"
"ATGL",3329.9,3424.65,2965.65,3339.85,3076,-7.9,578177,1849056300.16,"14-Jul-2022"
"VISESHINFO",0.65,0.65,0.6,0.65,0.6,-7.69,8805237,5459246.94,"22-Sep-2022"
"ADANIGREEN",2263.85,2288.8,2006,2260.8,2087.85,-7.65,3136977,6739606865.88,"18-Jul-2022"
"GPTINFRA",138.85,138.85,126.5,139.75,129.5,-7.33,262003,35145082.42,"20-Jul-2022"
"YUKEN",549.9,559.95,505.3,546.9,507.25,-7.25,9133,4830443.7,"05-Sep-2022"
"WEALTH",275.65,277.3,250,269.8,251,-6.97,371,100834.09,"20-Sep-2022"
"PRUDENT",717.55,745,678,730.2,681,-6.74,112888,81676725.76,"15-Sep-2022"
"STEL",140.2,144.45,132,142.35,132.9,-6.64,24149,3330388.59,"21-Sep-2022"
"MUTHOOTCAP",254.9,255.05,234.25,253.6,237,-6.55,84354,20373178.08,"12-Jun-2017"
"AURIONPRO",445,445,416,447.05,418,-6.5,204120,87596056.8,"16-Sep-2022"
"PARAS",684,694.7,625,697.8,652.9,-6.43,585377,394573366.85,"19-Sep-2022"
"PRICOLLTD",190.2,194,177.05,190.2,178,-6.41,1315857,242472969.39,"24-Nov-2020"
"IVC",8.75,8.85,8.15,8.8,8.25,-6.25,605703,5124247.38,"29-Aug-2022"
"TIL",118,121,112.35,120.2,112.75,-6.2,19728,2300679.36,"06-Aug-2019"
"GLOBE",5.8,5.8,5.2,5.75,5.4,-6.09,1801650,9620811,"03-Aug-2021"
"INDIACEM",269.9,274.4,250.1,269.1,252.7,-6.09,15410339,4066172048.54,"20-Sep-2022"
