Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
439,GAEL,Gujarat Ambuja Exports Limited,596731,,,,,,
440,JUSTDIAL,Just Dial Limited,594738,,,,,,
441,GARFIBRES,Garware Technical Fibres Limited,581793,,,,,,
442,PRSMJOHNSN,Prism Johnson Limited,579867,,,,,,
443,FINCABLES,Finolex Cables Limited,577575,,,,,,
444,RAYMOND,Raymond Limited,568972,,,,,,
445,JINDWORLD,Jindal Worldwide Limited,562660,,,,,,
446,GLS,Glenmark Life Sciences Limited,562155,,,,,,
447,AVANTIFEED,Avanti Feeds Limited,561809,,,,,,
448,JKLAKSHMI,JK Lakshmi Cement Limited,558756,,,,,,
449,SHARDACROP,Sharda Cropchem Limited,554856,,,,,,
450,EDELWEISS,Edelweiss Financial Services Limited,553597,,,,,,
451,OLECTRA,Olectra Greentech Limited,549572,,,,,,
452,GOCOLORS,Go Fashion (India) Limited,546301,,,,,,
453,KALPATPOWR,Kalpataru Power Transmission Limited,546125,,,,,,
454,GPIL,Godawari Power And Ispat limited,544682,,,,,,
455,JYOTHYLAB,Jyothy Labs Limited,541449,,,,,,
456,MTARTECH,Mtar Technologies Limited,539446,,,,,,
457,SCI,Shipping Corporation Of India Limited,537299,,,,,,
458,CCL,CCL Products (India) Limited,537034,,,,,,
459,NAZARA,Nazara Technologies Limited,534434,,,,,,
460,HEG,HEG Limited,531093,,,,,,
461,VARROC,Varroc Engineering Limited,528259,,,,,,
462,GODFRYPHLP,Godfrey Phillips India Limited,524931,,,,,,
463,GHCL,GHCL Limited,522093,,,,,,
464,INFIBEAM,Infibeam Avenues Limited,517866,,,,,,
465,JBMA,JBM Auto Limited,517095,,,,,,
466,SHOPERSTOP,Shoppers Stop Limited,515253,,,,,,
467,JKPAPER,JK Paper Limited,514898,,,,,,
468,CAPLIPOINT,Caplin Point Laboratories Limited,514000,,,,,,
469,TATVA,Tatva Chintan Pharma Chem Limited,511658,,,,,,
470,GESHIP,The Great Eastern Shipping Company Limited,507549,,,,,,
471,BHARATRAS,Bharat Rasayan Limited,506729,,,,,,
472,INGERRAND,Ingersoll Rand (India) Limited,504346,,,,,,
473,LEMONTREE,Lemon Tree Hotels Limited,502284,,,,,,
474,ROSSARI,Rossari Biotech Limited,501894,,,,,,
475,CRAFTSMAN,Craftsman Automation Limited,498290,,,,,,
476,RBA,Restaurant Brands Asia Limited,496433,,,,,,
477,HIKAL,Hikal Limited,496039,,,,,,
478,MINDACORP,Minda Corporation Limited,494416,,,,,,
479,RCF,Rashtriya Chemicals and Fertilizers Limited,493485,,,,,,
480,BARBEQUE,Barbeque Nation Hospitality Limited,493232,,,,,,
481,TEJASNET,Tejas Networks Limited,488232,,,,,,
482,JINDALPOLY,Jindal Poly Films Limited,486752,,,,,,
483,RESPONIND,Responsive Industries Limited,485381,,,,,,
484,MAZDOCK,Mazagon Dock Shipbuilders Limited,483451,,,,,,
485,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,481483,,,,,,
486,KRBL,KRBL Limited,474546,,,,,,
487,SWANENERGY,Swan Energy Limited,474469,,,,,,
488,SUPRAJIT,Suprajit Engineering Limited,473554,,,,,,
489,VSTIND,VST Industries Limited,473326,,,,,,
490,TCNSBRANDS,TCNS Clothing Co. Limited,472138,,,,,,
491,JPPOWER,Jaiprakash Power Ventures Limited,466035,,,,,,
492,ESABINDIA,Esab India Limited,465092,,,,,,
493,TCI,Transport Corporation of India Limited,463272,,,,,,
494,RALLIS,Rallis India Limited,462933,,,,,,
495,IBREALEST,Indiabulls Real Estate Limited,462502,,,,,,
496,MHRIL,Mahindra Holidays & Resorts India Limited,460172,,,,,,
497,KSB,Ksb Limited,459272,,,,,,
498,RPOWER,Reliance Power Limited,459017,,,,,,
499,JSWHL,JSW Holdings Limited,455601,,,,,,
500,PDSL,PDS Limited,455036,,,,,,
501,VIJAYA,Vijaya Diagnostic Centre Limited,446764,,,,,,
502,GREAVESCOT,Greaves Cotton Limited,442090,,,,,,
503,GLOBUSSPR,Globus Spirits Limited,441186,,,,,,
504,UFLEX,UFLEX Limited,439299,,,,,,
505,GREENLAM,Greenlam Industries Limited,438618,,,,,,
506,MOIL,MOIL Limited,437514,,,,,,
507,WELCORP,Welspun Corp Limited,436829,,,,,,
508,VRLLOG,VRL Logistics Limited,436682,,,,,,
509,NEOGEN,Neogen Chemicals Limited,435041,,,,,,
510,FDC,FDC Limited,434011,,,,,,
511,PCBL,PCBL LIMITED,431628,,,,,,
512,HEIDELBERG,HeidelbergCement India Limited,429658,,,,,,
513,HGS,Hinduja Global Solutions Limited,427857,,,,,,
514,IFBIND,IFB Industries Limited,421679,,,,,,
515,MAHSCOOTER,Maharashtra Scooters Limited,420411,,,,,,
516,TINPLATE,The Tinplate Company of India Limited,420031,,,,,,
517,RELIGARE,Religare Enterprises Limited,415090,,,,,,
518,NOCIL,NOCIL Limited,414602,,,,,,
519,THYROCARE,Thyrocare Technologies Limited,410160,,,,,,
520,USHAMART,Usha Martin Limited,409878,,,,,,
521,ICRA,ICRA Limited,408652,,,,,,
522,SARDAEN,Sarda Energy & Minerals Limited,408312,,,,,,
523,CMSINFO,CMS Info Systems Limited,405778,,,,,,
524,TATACOFFEE,Tata Coffee Limited,404918,,,,,,
525,MFL,Meghmani Finechem Limited,404200,,,,,,
526,SHAREINDIA,Share India Securities Limited,399407,,,,,,
527,AARTIDRUGS,Aarti Drugs Limited,397347,,,,,,
528,SUPRIYA,Supriya Lifescience Limited,397022,,,,,,
529,JAMNAAUTO,Jamna Auto Industries Limited,396472,,,,,,
530,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,389318,,,,,,
531,NESCO,Nesco Limited,389291,,,,,,
532,MANINFRA,Man Infraconstruction Limited,387771,,,,,,
533,COCHINSHIP,Cochin Shipyard Limited,386992,,,,,,
534,MAITHANALL,Maithan Alloys Limited,386499,,,,,,
535,LAOPALA,La Opala RG Limited,385281,,,,,,
536,WOCKPHARMA,Wockhardt Limited,379743,,,,,,
537,BOROLTD,Borosil Limited,377593,,,,,,
538,ISGEC,Isgec Heavy Engineering Limited,377427,,,,,,
539,CEATLTD,CEAT Limited,377056,,,,,,
540,ARVINDFASN,Arvind Fashions Limited,375847,,,,,,
541,HCG,Healthcare Global Enterprises Limited,375193,,,,,,
542,DHANI,Dhani Services Limited,374707,,,,,,
543,IRCON,Ircon International Limited,374325,,,,,,
544,TARSONS,Tarsons Products Limited,374014,,,,,,
545,KARURVYSYA,Karur Vysya Bank Limited,370334,,,,,,
546,MAHSEAMLES,Maharashtra Seamless Limited,369536,,,,,,
547,STARCEMENT,Star Cement Limited,369536,,,,,,
548,GPPL,Gujarat Pipavav Port Limited,369348,,,,,,
549,VAKRANGEE,Vakrangee Limited,367646,,,,,,
550,CSBBANK,CSB Bank Limited,366315,,,,,,
551,AMIORG,Ami Organics Limited,365190,,,,,,
552,DATAPATTNS,Data Patterns (India) Limited,364711,,,,,,
553,EQUITAS,Equitas Holdings Limited,364006,,,,,,
554,HGINFRA,H.G. Infra Engineering Limited,363622,,,,,,
555,MAHLOG,Mahindra Logistics Limited,362664,,,,,,
556,SUDARSCHEM,Sudarshan Chemical Industries Limited,360639,,,,,,
557,ENGINERSIN,Engineers India Limited,359988,,,,,,
558,RATEGAIN,Rategain Travel Technologies Limited,358524,,,,,,
559,NCC,NCC Limited,357065,,,,,,
560,DHAMPURSUG,Dhampur Sugar Mills Limited,354974,,,,,,
561,DBL,Dilip Buildcon Limited,352524,,,,,,
562,SANSERA,Sansera Engineering Limited,349781,,,,,,
563,RUPA,Rupa & Company Limited,348437,,,,,,
564,INDOCO,Indoco Remedies Limited,347453,,,,,,
565,SHILPAMED,Shilpa Medicare Limited,345645,,,,,,
566,ASTEC,Astec LifeSciences Limited,343907,,,,,,
567,ROLEXRINGS,Rolex Rings Limited,341683,,,,,,
568,SEAMECLTD,Seamec Limited,340314,,,,,,
569,PAISALO,Paisalo Digital Limited,334848,,,,,,
570,DHANUKA,Dhanuka Agritech Limited,334293,,,,,,
571,GATEWAY,Gateway Distriparks Limited,333262,,,,,,
572,BANARISUG,Bannari Amman Sugars Limited,333217,,,,,,
573,SEQUENT,Sequent Scientific Limited,332320,,,,,,
574,HEMIPROP,Hemisphere Properties India Limited,325898,,,,,,
575,NEWGEN,Newgen Software Technologies Limited,325749,,,,,,
576,ITDC,India Tourism Development Corporation Limited,325066,,,,,,
577,TATASTLLP,Tata Steel Long Products Limited,324111,,,,,,
578,KSCL,Kaveri Seed Company Limited,319019,,,,,,
579,AHLUCONT,Ahluwalia Contracts (India) Limited,315545,,,,,,
580,ADVENZYMES,Advanced Enzyme Technologies Limited,315390,,,,,,
582,ICIL,Indo Count Industries Limited,313767,,,,,,
583,INDIAGLYCO,India Glycols Limited,312773,,,,,,
584,DOLLAR,Dollar Industries Limited,312166,,,,,,
585,TEGA,Tega Industries Limited,311843,,,,,,
586,HSCL,Himadri Speciality Chemical Limited,311291,,,,,,
587,STAR,Strides Pharma Science Limited,311213,,,,,,
588,MIDHANI,Mishra Dhatu Nigam Limited,310329,,,,,,
589,IPL,India Pesticides Limited,310020,,,,,,
590,HATHWAY,Hathway Cable & Datacom Limited,305343,,,,,,
591,NILKAMAL,Nilkamal Limited,302674,,,,,,
592,VENKEYS,Venky's (India) Limited,301814,,,,,,
593,J&KBANK,The Jammu & Kashmir Bank Limited,301322,,,,,,
594,DISHTV,Dish TV India Limited,301045,,,,,,
595,ARVIND,Arvind Limited,300846,,,,,,
596,RSYSTEMS,R Systems International Limited,300432,,,,,,
597,HIL,HIL Limited,298610,,,,,,
598,RELINFRA,Reliance Infrastructure Limited,295338,,,,,,
599,MASFIN,MAS Financial Services Limited,293071,,,,,,
600,ORIENTCEM,Orient Cement Limited,291528,,,,,,
601,HINDOILEXP,Hindustan Oil Exploration Company Limited,290915,,,,,,
602,DCAL,Dishman Carbogen Amcis Limited,289657,,,,,,
603,SAGCEM,Sagar Cements Limited,289461,,,,,,
604,JKTYRE,JK Tyre & Industries Limited,288952,,,,,,
605,JINDALSAW,Jindal Saw Limited,288098,,,,,,
606,RTNPOWER,RattanIndia Power Limited,287301,,,,,,
607,ACE,Action Construction Equipment Limited,286395,,,,,,
608,FILATEX,Filatex India Limited,284961,,,,,,
609,SCHNEIDER,Schneider Electric Infrastructure Limited,283458,,,,,,
610,TIPSINDLTD,TIPS Industries Limited,283359,,,,,,
611,TASTYBITE,Tasty Bite Eatables Limited,277705,,,,,,
612,SOMANYCERA,Somany Ceramics Limited,275360,,,,,,
613,OPTIEMUS,Optiemus Infracom Limited,274133,,,,,,
614,PFOCUS,Prime Focus Limited,273477,,,,,,
615,TECHNOE,Techno Electric & Engineering Company Limited,272525,,,,,,
616,TIRUMALCHM,Thirumalai Chemicals Limited,272352,,,,,,
618,RAILTEL,Railtel Corporation Of India Limited,269909,,,,,,
619,CARTRADE,Cartrade Tech Limited,269659,,,,,,
620,GREENPLY,Greenply Industries Limited,269658,,,,,,
621,IIFLSEC,IIFL Securities Limited,269068,,,,,,
622,DODLA,Dodla Dairy Limited,266081,,,,,,
623,MOL,Meghmani Organics Limited,265250,,,,,,
624,SHIL,Somany Home Innovation Limited,262508,,,,,,
625,RAJRATAN,Rajratan Global Wire Limited,261826,,,,,,
626,INDOSTAR,IndoStar Capital Finance Limited,261786,,,,,,
627,NFL,National Fertilizers Limited,260252,,,,,,
628,GRSE,Garden Reach Shipbuilders & Engineers Limited,259689,,,,,,
629,THOMASCOOK,Thomas Cook  (India)  Limited,259497,,,,,,
630,AUTOAXLES,Automotive Axles Limited,259049,,,,,,
631,UJJIVANSFB,Ujjivan Small Finance Bank Limited,255791,,,,,,
632,DBREALTY,D B Realty Limited,255787,,,,,,
633,EKC,Everest Kanto Cylinder Limited,253982,,,,,,
634,KIRIINDUS,Kiri Industries Limited,253780,,,,,,
635,PURVA,Puravankara Limited,253039,,,,,,
636,SSWL,Steel Strips Wheels Limited,252951,,,,,,
637,ANANDRATHI,Anand Rathi Wealth Limited,252319,,,,,,
638,RKFORGE,Ramkrishna Forgings Limited,251666,,,,,,
639,VALIANTORG,Valiant Organics Limited,250056,,,,,,
640,DAAWAT,LT Foods Limited,249799,,,,,,
641,APARINDS,Apar Industries Limited,248459,,,,,,
642,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,248365,,,,,,
643,BBOX,Black Box Limited,247409,,,,,,
644,INOXWIND,Inox Wind Limited,245885,,,,,,
645,PARAS,Paras Defence and Space Technologies Limited,244023,,,,,,
646,IONEXCHANG,ION Exchange (India) Limited,243936,,,,,,
647,TATAMETALI,Tata Metaliks Limited,243605,,,,,,
648,EVEREADY,Eveready Industries India Limited,243502,,,,,,
649,PTC,PTC India Limited,243467,,,,,,
650,JISLJALEQS,Jain Irrigation Systems Limited,242079,,,,,,
651,HERANBA,Heranba Industries Limited,242001,,,,,,
652,GUFICBIO,Gufic Biosciences Limited,241392,,,,,,
653,TIIL,Technocraft Industries (India) Limited,241192,,,,,,
654,BLS,BLS International Services Limited,241116,,,,,,
655,BAJAJCON,Bajaj Consumer Care Limited,240933,,,,,,
656,ASHOKA,Ashoka Buildcon Limited,240861,,,,,,
657,SOLARA,Solara Active Pharma Sciences Limited,239771,,,,,,
658,GOKEX,Gokaldas Exports Limited,238444,,,,,,
659,HCC,Hindustan Construction Company Limited,237545,,,,,,
660,OAL,Oriental Aromatics Limited,236955,,,,,,
661,DWARKESH,Dwarikesh Sugar Industries Limited,236412,,,,,,
662,GET&D,GE T&D India Limited,234667,,,,,,
663,IFCI,IFCI Limited,233432,,,,,,
664,AMRUTANJAN,Amrutanjan Health Care Limited,232267,,,,,,
665,POKARNA,Pokarna Limited,231181,,,,,,
666,HESTERBIO,Hester Biosciences Limited,230830,,,,,,
667,MOLDTKPAC,Mold-Tek Packaging Limited,228160,,,,,,
668,SURYAROSNI,Surya Roshni Limited,224954,,,,,,
669,KIRLOSBROS,Kirloskar Brothers Limited,224767,,,,,,
670,IMFA,Indian Metals & Ferro Alloys Limited,223640,,,,,,
671,SHARDAMOTR,Sharda Motor Industries Limited,222601,,,,,,
672,GANESHHOUC,Ganesh Housing Corporation Limited,221976,,,,,,
673,TVTODAY,TV Today Network Limited,221699,,,,,,
674,ACRYSIL,Acrysil Limited,221474,,,,,,
675,WSTCSTPAPR,West Coast Paper Mills Limited,220768,,,,,,
676,GRAVITA,Gravita India Limited,219368,,,,,,
677,SAFARI,Safari Industries (India) Limited,218186,,,,,,
678,JAYNECOIND,Jayaswal Neco Industries Limited,217989,,,,,,
679,IGPL,IG Petrochemicals Limited,215933,,,,,,
680,DCBBANK,DCB Bank Limited,215818,,,,,,
681,MSTCLTD,Mstc Limited,215494,,,,,,
682,KOLTEPATIL,Kolte - Patil Developers Limited,214560,,,,,,
683,SUBROS,Subros Limited,213778,,,,,,
684,SPANDANA,Spandana Sphoorty Financial Limited,213771,,,,,,
685,GULFOILLUB,Gulf Oil Lubricants India Limited,213080,,,,,,
686,BEPL,Bhansali Engineering Polymers Limited,210534,,,,,,
687,STEELXIND,STEEL EXCHANGE INDIA LIMITED,210382,,,,,,
688,FINOPB,Fino Payments Bank Limited,209201,,,,,,
689,VIDHIING,Vidhi Specialty Food Ingredients Limited,208221,,,,,,
690,IOLCP,IOL Chemicals and Pharmaceuticals Limited,207641,,,,,,
691,VSTTILLERS,V.S.T Tillers Tractors Limited,207409,,,,,,
692,ANDHRSUGAR,The Andhra Sugars Limited,207234,,,,,,
693,VESUVIUS,Vesuvius India Limited,207010,,,,,,
695,ATFL,Agro Tech Foods Limited,204409,,,,,,
696,MMFL,MM Forgings Limited,204171,,,,,,
697,JPASSOCIAT,Jaiprakash Associates Limited,203731,,,,,,
698,BOMDYEING,Bombay Dyeing & Mfg Company Limited,203334,,,,,,
699,SHK,S H Kelkar and Company Limited,202866,,,,,,
700,GMRP&UI,GMR Power and Urban Infra Limited,202808,,,,,,
701,NAVNETEDUL,Navneet Education Limited,202235,,,,,,
702,GATI,GATI Limited,201485,,,,,,
703,STOVEKRAFT,Stove Kraft Limited,201117,,,,,,
704,FCL,Fineotex Chemical Limited,200122,,,,,,
705,MUKANDLTD,Mukand Limited,199241,,,,,,
706,AVTNPL,AVT Natural Products Limited,198654,,,,,,
707,VOLTAMP,Voltamp Transformers Limited,198306,,,,,,
708,SBCL,Shivalik Bimetal Controls Limited,197237,,,,,,
709,SIYSIL,Siyaram Silk Mills Limited,196620,,,,,,
710,FAIRCHEMOR,Fairchem Organics Limited,195633,,,,,,
711,JAICORPLTD,Jai Corp Limited,195045,,,,,,
712,GTPL,GTPL Hathway Limited,194898,,,,,,
713,ASTRAMICRO,Astra Microwave Products Limited,194833,,,,,,
714,ANANTRAJ,Anant Raj Limited,194468,,,,,,
715,PSPPROJECT,PSP Projects Limited,194094,,,,,,
716,TIDEWATER,Tide Water Oil Company (India) Limited,193633,,,,,,
717,MIRZAINT,Mirza International Limited,193332,,,,,,
718,BALMLAWRIE,Balmer Lawrie & Company Limited,192721,,,,,,
719,HSIL,HSIL Limited,191440,,,,,,
720,VISHNU,Vishnu Chemicals Limited,191065,,,,,,
721,KIRLOSENG,Kirloskar Oil Engines Limited,190818,,,,,,
722,APOLLOPIPE,Apollo Pipes Limited,190742,,,,,,
723,CHENNPETRO,Chennai Petroleum Corporation Limited,190085,,,,,,
724,GTLINFRA,GTL Infrastructure Limited,189350,,,,,,
725,PILANIINVS,Pilani Investment and Industries Corporation Limited,187669,,,,,,
726,MANALIPETC,Manali Petrochemicals Limited,186361,,,,,,
727,MARKSANS,Marksans Pharma Limited,186238,,,,,,
728,APCOTEXIND,Apcotex Industries Limited,186072,,,,,,
729,ALEMBICLTD,Alembic Limited,186038,,,,,,
730,NAHARSPING,Nahar Spinning Mills Limited,185430,,,,,,
731,GENUSPOWER,Genus Power Infrastructures Limited,185280,,,,,,
732,UNICHEMLAB,Unichem Laboratories Limited,182985,,,,,,
733,RAMCOIND,Ramco Industries Limited,182686,,,,,,
734,BAJAJHIND,Bajaj Hindusthan Sugar Limited,181385,,,,,,
735,SUBEXLTD,Subex Limited,180684,,,,,,
736,JTEKTINDIA,Jtekt India Limited,180427,,,,,,
737,SHANKARA,Shankara Building Products Limited,179836,,,,,,
738,GENESYS,Genesys International Corporation Limited,179128,,,,,,
739,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,178948,,,,,,
740,CAMLINFINE,Camlin Fine Sciences Limited,177978,,,,,,
741,CONFIPET,Confidence Petroleum India Limited,177365,,,,,,
742,DATAMATICS,Datamatics Global Services Limited,176612,,,,,,
743,DEN,Den Networks Limited,176096,,,,,,
744,HBLPOWER,HBL Power Systems Limited,175742,,,,,,
745,INFOBEAN,InfoBeans Technologies Limited,175578,,,,,,
746,WABAG,VA Tech Wabag Limited,174382,,,,,,
747,XPROINDIA,Xpro India Limited,173292,,,,,,
748,STYLAMIND,Stylam Industries Limited,173048,,,,,,
749,KTKBANK,The Karnataka Bank Limited,172540,,,,,,
750,EXCELINDUS,Excel Industries Limited,172357,,,,,,
751,INDORAMA,Indo Rama Synthetics (India) Limited,172335,,,,,,
752,EXPLEOSOL,Expleo Solutions Limited,172103,,,,,,
753,INEOSSTYRO,INEOS Styrolution India Limited,171521,,,,,,
754,JAGRAN,Jagran Prakashan Limited,171243,,,,,,
755,ORISSAMINE,The Orissa Minerals Development Company Limited,170967,,,,,,
756,ELECTCAST,Electrosteel Castings Limited,170801,,,,,,
757,FRETAIL,Future Retail Limited,169193,,,,,,
758,LGBBROSLTD,LG Balakrishnan & Bros Limited,168640,,,,,,
759,KABRAEXTRU,Kabra Extrusion Technik Limited,167966,,,,,,
760,KITEX,Kitex Garments Limited,165652,,,,,,
761,BECTORFOOD,Mrs. Bectors Food Specialities Limited,164889,,,,,,
762,GOLDIAM,Goldiam International Limited,164715,,,,,,
763,MOREPENLAB,Morepen Laboratories Limited,164274,,,,,,
764,NELCO,NELCO Limited,163597,,,,,,
765,RGL,Renaissance Global Limited,163468,,,,,,
766,GULPOLY,Gulshan Polyols Limited,163037,,,,,,
767,ZENTEC,Zen Technologies Limited,162996,,,,,,
768,GRWRHITECH,Garware Hi-Tech Films Limited,162232,,,,,,
769,DIAMONDYD,Prataap Snacks Limited,161826,,,,,,
770,ELECON,Elecon Engineering Company Limited,161344,,,,,,
771,GABRIEL,Gabriel India Limited,160738,,,,,,
772,NACLIND,NACL Industries Limited,160728,,,,,,
773,PANAMAPET,Panama Petrochem Limited,160429,,,,,,
774,MAYURUNIQ,Mayur Uniquoters Ltd,159566,,,,,,
775,SWARAJENG,Swaraj Engines Limited,158765,,,,,,
776,GANECOS,Ganesha Ecosphere Limited,158656,,,,,,
777,PRICOLLTD,Pricol Limited,158629,,,,,,
778,SOUTHBANK,The South Indian Bank Limited,156956,,,,,,
779,ADFFOODS,ADF Foods Limited,155827,,,,,,
780,SHRIPISTON,Shriram Pistons & Rings Limited,155287,,,,,,
781,PGEL,PG Electroplast Limited,155175,,,,,,
782,RPSGVENT,RPSG VENTURES LIMITED,155171,,,,,,
783,SUNDARMHLD,Sundaram Finance Holdings Limited,153918,,,,,,
784,MATRIMONY,Matrimony.Com Limited,153593,,,,,,
785,KRSNAA,Krsnaa Diagnostics Limited,153440,,,,,,
786,KINGFA,Kingfa Science & Technology (India) Limited,153270,,,,,,
787,MAXVIL,Max Ventures and Industries Limited,152177,,,,,,
788,KIRLOSIND,Kirloskar Industries Limited,151635,,,,,,
789,JSWISPL,JSW Ispat Special Products Limited,151429,,,,,,
790,CARERATING,CARE Ratings Limited,151279,,,,,,
791,DBCORP,D.B.Corp Limited,150676,,,,,,
792,CANTABIL,Cantabil Retail India Limited,150353,,,,,,
793,THANGAMAYL,Thangamayil Jewellery Limited,149557,,,,,,
794,GEOJITFSL,Geojit Financial Services Limited,149373,,,,,,
795,KCP,KCP Limited,149355,,,,,,
796,HERITGFOOD,Heritage Foods Limited,148590,,,,,,
797,DFMFOODS,DFM Foods Limited,148563,,,,,,
798,HIMATSEIDE,Himatsingka Seide Limited,148178,,,,,,
799,FMGOETZE,Federal-Mogul Goetze (India) Limited.,147787,,,,,,
800,NDTV,New Delhi Television Limited,146350,,,,,,
801,OMAXE,Omaxe Limited,146229,,,,,,
802,SPIC,Southern Petrochemicals Industries Corporation  Limited,145806,,,,,,
803,AVADHSUGAR,Avadh Sugar & Energy Limited,145514,,,,,,
804,SOTL,Savita Oil Technologies Limited,145249,,,,,,
805,TIMETECHNO,Time Technoplast Limited,144508,,,,,,
806,GALLISPAT,Gallantt Ispat Limited,143580,,,,,,
807,MTNL,Mahanagar Telephone Nigam Limited,142380,,,,,,
808,JYOTISTRUC,Jyoti Structures Limited,141182,,,,,,
809,APTECHT,Aptech Limited,140760,,,,,,
810,ASHIANA,Ashiana Housing Limited,139864,,,,,,
811,ACCELYA,Accelya Solutions India Limited,138516,,,,,,
812,SHANTIGEAR,Shanthi Gears Limited,138165,,,,,,
813,NAHARPOLY,Nahar Poly Films Limited,138086,,,,,,
814,SASKEN,Sasken Technologies Limited,138062,,,,,,
815,NURECA,Nureca Limited,136817,,,,,,
816,GOCLCORP,GOCL Corporation Limited,136448,,,,,,
817,PRAKASH,Prakash Industries Limited,136102,,,,,,
818,DYNAMATECH,Dynamatic Technologies Limited,135507,,,,,,
819,NXTDIGITAL,NXTDIGITAL LIMITED,135461,,,,,,
820,KOPRAN,Kopran Limited,135453,,,,,,
821,AMBIKCO,Ambika Cotton Mills Limited,134898,,,,,,
822,JMCPROJECT,JMC Projects (India)  Limited,134744,,,,,,
823,SHIVALIK,Shivalik Rasayan Limited,134561,,,,,,
824,TEXRAIL,Texmaco Rail & Engineering Limited,134220,,,,,,
825,EIHAHOTELS,EIH Associated Hotels Limited,133450,,,,,,
826,WONDERLA,Wonderla Holidays Limited,132942,,,,,,
827,NEULANDLAB,Neuland Laboratories Limited,132039,,,,,,
828,SHRIRAMPPS,Shriram Properties Limited,131883,,,,,,
829,SANDHAR,Sandhar Technologies Limited,131667,,,,,,
830,DPSCLTD,DPSC Limited,130975,,,,,,
831,GMBREW,GM Breweries Limited,130465,,,,,,
832,KSL,Kalyani Steels Limited,129388,,,,,,
833,THEJO,Thejo Engineering Limited,128168,,,,,,
834,SIRCA,Sirca Paints India Limited,127389,,,,,,
835,KESORAMIND,Kesoram Industries Limited,127323,,,,,,
836,NITINSPIN,Nitin Spinners Limited,127282,,,,,,
837,SHALBY,Shalby Limited,126371,,,,,,
838,JKIL,J.Kumar Infraprojects Limited,126286,,,,,,
839,LSIL,Lloyds Steels Industries Limited,126214,,,,,,
840,PRECAM,Precision Camshafts Limited,125904,,,,,,
841,HONDAPOWER,Honda India Power Products Limited,125165,,,,,,
842,SJS,S.J.S. Enterprises Limited,124537,,,,,,
843,63MOONS,63 moons technologies limited,124297,,,,,,
844,UJJIVAN,Ujjivan Financial Services Limited,123929,,,,,,
845,BODALCHEM,Bodal Chemicals Limited,123645,,,,,,
846,WHEELS,Wheels India Limited,123247,,,,,,
847,KDDL,KDDL Limited,123053,,,,,,
848,POWERMECH,Power Mech Projects Limited,122945,,,,,,
849,KKCL,Kewal Kiran Clothing Limited,122850,,,,,,
850,TVSSRICHAK,TVS Srichakra Limited,122348,,,,,,
851,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,121964,,,,,,
852,RAMKY,Ramky Infrastructure Limited,121961,,,,,,
853,VINDHYATEL,Vindhya Telelinks Limited,121886,,,,,,
854,CENTENKA,Century Enka Limited,121314,,,,,,
855,TWL,Titagarh Wagons Limited,121185,,,,,,
856,INSECTICID,Insecticides (India) Limited,121134,,,,,,
857,ONMOBILE,OnMobile Global Limited,121126,,,,,,
858,HMT,HMT Limited,121022,,,,,,
859,AGSTRA,AGS Transact Technologies Limited,120633,,,,,,
860,CIGNITITEC,Cigniti Technologies Limited,120556,,,,,,
861,NUCLEUS,Nucleus Software Exports Limited,120287,,,,,,
862,ESTER,Ester Industries Limited,119211,,,,,,
863,PATELENG,Patel Engineering Limited,118610,,,,,,
864,FIEMIND,Fiem Industries Limited,118458,,,,,,
865,SUVEN,Suven Life Sciences Limited,117991,,,,,,
866,RIIL,Reliance Industrial Infrastructure Limited,117523,,,,,,
867,UGROCAP,Ugro Capital Limited,117411,,,,,,
868,TTKHLTCARE,TTK Healthcare Limited,117310,,,,,,
869,SUTLEJTEX,Sutlej Textiles and Industries Limited,117301,,,,,,
870,ANDHRAPAP,ANDHRA PAPER LIMITED,117202,,,,,,
871,ASHAPURMIN,Ashapura Minechem Limited,116828,,,,,,
872,ORCHPHARMA,Orchid Pharma Limited,116408,,,,,,
873,BFUTILITIE,BF Utilities Limited,116148,,,,,,
874,AJMERA,Ajmera Realty & Infra India Limited,116089,,,,,,
875,TNPL,Tamil Nadu Newsprint & Papers Limited,116032,,,,,,
876,VHL,Vardhman Holdings Limited,115622,,,,,,
877,COFFEEDAY,Coffee Day Enterprises Limited,115343,,,,,,
878,LUMAXTECH,Lumax Auto Technologies Limited,114198,,,,,,
879,HUHTAMAKI,Huhtamaki India Limited,113963,,,,,,
880,SASTASUNDR,Sastasundar Ventures Limited,113913,,,,,,
881,SUNFLAG,Sunflag Iron And Steel Company Limited,113448,,,,,,
882,ORIENTHOT,Oriental Hotels Limited,112964,,,,,,
883,IGARASHI,Igarashi Motors India Limited,112807,,,,,,
884,SANGAMIND,Sangam (India) Limited,112440,,,,,,
885,EVERESTIND,Everest Industries Limited,111683,,,,,,
886,NRBBEARING,NRB Bearing Limited,111461,,,,,,
887,GIPCL,Gujarat Industries Power Company Limited,111094,,,,,,
888,REPCOHOME,Repco Home Finance Limited,110358,,,,,,
889,SESHAPAPER,Seshasayee Paper and Boards Limited,110085,,,,,,
