Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
101,PGHH,Procter & Gamble Hygiene and Health Care Limited,4679410,,,,,,
102,GODREJPROP,Godrej Properties Limited,4648516,,,,,,
103,IDBI,IDBI Bank Limited,4602028,,,,,,
104,HEROMOTOCO,Hero MotoCorp Limited,4583986,,,,,,
105,HDFCAMC,HDFC Asset Management Company Limited,4576672,,,,,,
106,ABB,ABB India Limited,4572877,,,,,,
107,TRENT,Trent Limited,4534243,,,,,,
109,ALKEM,Alkem Laboratories Limited,4329090,,,,,,
110,PIIND,PI Industries Limited,4277920,,,,,,
111,BOSCHLTD,Bosch Limited,4258439,,,,,,
112,COLPAL,Colgate Palmolive (India) Limited,4194698,,,,,,
113,CANBK,Canara Bank,4131682,,,,,,
114,BALKRISIND,Balkrishna Industries Limited,4129642,,,,,,
115,VOLTAS,Voltas Limited,4120839,,,,,,
116,CONCOR,Container Corporation of India Limited,4095372,,,,,,
117,STARHEALTH,Star Health and Allied Insurance Company Limited,4088797,,,,,,
118,VBL,Varun Beverages Limited,4076140,,,,,,
119,SAIL,Steel Authority of India Limited,4070633,,,,,,
120,ASTRAL,Astral Limited,4064515,,,,,,
121,ACC,ACC Limited,4039961,,,,,,
122,BIOCON,Biocon Limited,4029214,,,,,,
123,SONACOMS,Sona BLW Precision Forgings Limited,3970384,,,,,,
124,UBL,United Breweries Limited,3938447,,,,,,
125,AUBANK,AU Small Finance Bank Limited,3924442,,,,,,
126,AUROPHARMA,Aurobindo Pharma Limited,3917293,,,,,,
127,PNB,Punjab National Bank,3859361,,,,,,
128,HINDPETRO,Hindustan Petroleum Corporation Limited,3820860,,,,,,
129,PERSISTENT,Persistent Systems Limited,3641881,,,,,,
130,ZYDUSLIFE,Zydus Lifesciences Limited,3567743,,,,,,
131,POLYCAB,Polycab India Limited,3533084,,,,,,
132,HONAUT,Honeywell Automation India Limited,3508033,,,,,,
133,TATACOMM,Tata Communications Limited,3501510,,,,,,
134,JUBLFOOD,Jubilant Foodworks Limited,3479364,,,,,,
135,AARTIIND,Aarti Industries Limited,3467895,,,,,,
136,GUJGASLTD,Gujarat Gas Limited,3464323,,,,,,
137,ASHOKLEY,Ashok Leyland Limited,3441906,,,,,,
138,IOB,Indian Overseas Bank,3430788,,,,,,
139,PAYTM,One 97 Communications Limited,3427126,,,,,,
140,OBEROIRLTY,Oberoi Realty Limited,3417316,,,,,,
141,LUPIN,Lupin Limited,3394975,,,,,,
142,MAXHEALTH,Max Healthcare Institute Limited,3370861,,,,,,
143,BHARATFORG,Bharat Forge Limited,3261914,,,,,,
144,TTML,Tata Teleservices (Maharashtra) Limited,3258865,,,,,,
145,LINDEINDIA,Linde India Limited,3227923,,,,,,
146,LAURUSLABS,Laurus Labs Limited,3170957,,,,,,
147,INDHOTEL,The Indian Hotels Company Limited,3151514,,,,,,
148,TIINDIA,Tube Investments of India Limited,3134862,,,,,,
149,POLICYBZR,PB Fintech Limited,3120877,,,,,,
150,CUMMINSIND,Cummins India Limited,3108244,,,,,,
151,OFSS,Oracle Financial Services Software Limited,3094472,,,,,,
152,YESBANK,Yes Bank Limited,3081759,,,,,,
153,SRTRANSFIN,Shriram Transport Finance Company Limited,3069993,,,,,,
154,DEEPAKNTR,Deepak Nitrite Limited,3060319,,,,,,
155,ATUL,Atul Limited,3045262,,,,,,
156,SCHAEFFLER,Schaeffler India Limited,3035417,,,,,,
157,FLUOROCHEM,Gujarat Fluorochemicals Limited,3012691,,,,,,
158,PFC,Power Finance Corporation Limited,2972732,,,,,,
159,TVSMOTOR,TVS Motor Company Limited,2972383,,,,,,
160,PETRONET,Petronet LNG Limited,2906250,,,,,,
161,ABFRL,Aditya Birla Fashion and Retail Limited,2834363,,,,,,
163,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2823829,,,,,,
164,IRFC,Indian Railway Finance Corporation Limited,2803195,,,,,,
165,DALBHARAT,Dalmia Bharat Limited,2802286,,,,,,
166,NHPC,NHPC Limited,2792520,,,,,,
167,IDEA,Vodafone Idea Limited,2772965,,,,,,
168,ZEEL,Zee Entertainment Enterprises Limited,2769647,,,,,,
169,MRF,MRF Limited,2757680,,,,,,
170,TRIDENT,Trident Limited,2718692,,,,,,
171,COFORGE,Coforge Limited,2714758,,,,,,
172,IPCALAB,IPCA Laboratories Limited,2703853,,,,,,
174,RELAXO,Relaxo Footwears Limited,2654423,,,,,,
175,UNIONBANK,Union Bank of India,2645047,,,,,,
176,IGL,Indraprastha Gas Limited,2612053,,,,,,
177,MFSL,Max Financial Services Limited,2601820,,,,,,
178,ABCAPITAL,Aditya Birla Capital Limited,2601138,,,,,,
179,SUPREMEIND,Supreme Industries Limited,2600494,,,,,,
180,OIL,Oil India Limited,2585222,,,,,,
181,CGPOWER,CG Power and Industrial Solutions Limited,2561067,,,,,,
182,DIXON,Dixon Technologies (India) Limited,2556925,,,,,,
183,SOLARINDS,Solar Industries India Limited,2530554,,,,,,
184,BATAINDIA,Bata India Limited,2520939,,,,,,
185,KANSAINER,Kansai Nerolac Paints Limited,2520797,,,,,,
186,TATACHEM,Tata Chemicals Limited,2482218,,,,,,
187,IDFCFIRSTB,IDFC First Bank Limited,2468430,,,,,,
188,RECLTD,REC Limited,2430137,,,,,,
189,CRISIL,CRISIL Limited,2406503,,,,,,
190,SYNGENE,Syngene International Limited,2395160,,,,,,
191,CROMPTON,Crompton Greaves Consumer Electricals Limited,2368938,,,,,,
192,TORNTPOWER,Torrent Power Limited,2363914,,,,,,
193,COROMANDEL,Coromandel International Limited,2346797,,,,,,
194,MANYAVAR,Vedant Fashions Limited,2346737,,,,,,
195,HATSUN,Hatsun Agro Product Limited,2310839,,,,,,
196,THERMAX,Thermax Limited,2310500,,,,,,
197,APLAPOLLO,APL Apollo Tubes Limited,2289065,,,,,,
198,ESCORTS,Escorts Limited,2279850,,,,,,
199,SUMICHEM,Sumitomo Chemical India Limited,2238669,,,,,,
200,NATIONALUM,National Aluminium Company Limited,2237018,,,,,,
201,GMRINFRA,GMR Infrastructure Limited,2230282,,,,,,
202,3MINDIA,3M India Limited,2218915,,,,,,
203,FORTIS,Fortis Healthcare Limited,2192398,,,,,,
204,LALPATHLAB,Dr. Lal Path Labs Ltd.,2175885,,,,,,
205,NAM-INDIA,Nippon Life India Asset Management Limited,2162445,,,,,,
206,SUNDARMFIN,Sundaram Finance Limited,2155637,,,,,,
207,KPRMILL,K.P.R. Mill Limited,2141883,,,,,,
208,CLEAN,Clean Science and Technology Limited,2116307,,,,,,
209,DEVYANI,Devyani International Limited,2108737,,,,,,
210,POONAWALLA,Poonawalla Fincorp Limited,2079445,,,,,,
211,TANLA,Tanla Platforms Limited,2070252,,,,,,
212,FEDERALBNK,The Federal Bank  Limited,2048806,,,,,,
213,RAJESHEXPO,Rajesh Exports Limited,2040542,,,,,,
214,MSUMI,Motherson Sumi Wiring India Limited,2035289,,,,,,
215,AAVAS,Aavas Financiers Limited,2028233,,,,,,
216,NAVINFLUOR,Navin Fluorine International Limited,2022181,,,,,,
217,IEX,Indian Energy Exchange Limited,2019310,,,,,,
218,VINATIORGA,Vinati Organics Limited,2007539,,,,,,
219,ISEC,ICICI Securities Limited,2004627,,,,,,
220,GICRE,General Insurance Corporation of India,1997384,,,,,,
221,WHIRLPOOL,Whirlpool of India Limited,1995504,,,,,,
